Severity,Start_Lat,Start_Lng
2,29.716625,-95.551613
2,29.859201,-95.403114
2,29.845549,-95.384483
3,29.758677,-95.374695
3,29.73126,-95.402122
2,29.710938,-95.59169
3,29.784716,-95.510841
2,29.870659,-95.365089
2,29.713634,-95.53894
3,29.697172,-95.288391
2,29.685745,-95.277138
2,29.73587,-95.623787
2,29.740858,-95.460991
2,29.627476,-95.240654
2,29.737177,-95.538879
3,29.677786,-95.412987
2,29.771568,-95.349655
2,29.722206,-95.554939
2,29.929913,-95.544098
3,29.769836,-95.365616
2,29.727623,-95.557541
2,29.600239,-95.317863
2,29.747969,-95.572029
3,29.716459,-95.499268
2,29.647762,-95.46357
3,29.754202,-95.455444
3,29.845453,-95.392624
2,29.941286,-95.327263
2,29.77803,-95.618179
2,29.784111,-95.575668
2,29.858727,-95.41243
2,29.6341,-95.411423
2,29.66094,-95.558426
3,29.774754,-95.455849
3,29.766062,-95.455818
2,29.738449,-95.420906
2,29.870031,-95.384872
2,29.593527,-95.220673
2,29.703615,-95.596191
2,29.758608,-95.486191
2,29.807159,-95.439209
2,29.705027,-95.536156
2,29.691168,-95.535194
2,29.673273,-95.289314
2,29.630577,-95.507507
2,29.670563,-95.554924
2,29.859997,-95.563507
2,29.713121,-95.378937
2,29.770008,-95.401428
2,29.864588,-95.374474
2,29.737005,-95.369347
2,29.790094,-95.277596
2,29.619242,-95.493164
2,29.857689,-95.304337
2,29.902794,-95.551804
3,29.784323,-95.452042
2,29.718224,-95.496918
2,29.612238,-95.464951
3,29.845453,-95.392624
2,29.836903,-95.384407
2,29.698298,-95.28067
2,29.674984,-95.583076
2,29.87303,-95.554787
2,29.784481,-95.264954
3,29.68195,-95.458649
2,29.802773,-95.410141
2,29.774761,-95.417992
2,29.747046,-95.361305
2,29.854084,-95.515427
2,29.738646,-95.572021
2,29.886774,-95.549385
2,29.723875,-95.41674
2,29.870659,-95.365089
2,29.729239,-95.635818
2,29.938702,-95.356133
2,29.848061,-95.348633
2,29.655684,-95.52803
3,29.730497,-95.340614
2,29.96549,-95.336006
2,29.75,-95.50103
2,29.677595,-95.493408
2,29.86725,-95.564011
2,29.693504,-95.530266
2,29.740858,-95.460991
2,29.765089,-95.457397
2,29.673952,-95.424812
3,29.86912,-95.412605
2,29.847519,-95.524223
2,29.770273,-95.396042
2,29.758741,-95.366043
3,29.784012,-95.475616
2,29.846556,-95.359085
2,29.714563,-95.354614
2,29.864105,-95.307762
2,29.961014,-95.547508
3,29.697172,-95.288391
2,29.75411,-95.529327
2,29.750023,-95.479568
2,29.697012,-95.412354
2,29.766788,-95.410461
2,29.760918,-95.390091
2,29.808397,-95.381996
2,29.744743,-95.378418
2,29.68124,-95.375725
2,29.75839,-95.356171
2,29.939013,-95.315666
2,29.860605,-95.307732
2,29.697845,-95.267242
2,29.700468,-95.547211
2,29.759813,-95.408417
2,29.745296,-95.37159
2,29.902794,-95.551804
2,29.704142,-95.298347
2,29.630577,-95.507507
3,29.669153,-95.262543
2,29.758057,-95.37043
2,29.79706,-95.271584
2,29.750538,-95.372581
2,29.805132,-95.240501
2,29.710487,-95.333206
2,29.814098,-95.370193
2,29.685011,-95.296227
3,29.754202,-95.455444
2,29.96529,-95.429527
2,29.754883,-95.625282
2,29.837383,-95.40287
2,29.675243,-95.587318
2,29.732767,-95.418678
3,29.773304,-95.455948
3,29.7777,-95.429512
2,29.960747,-95.547424
2,29.729038,-95.441483
2,29.738445,-95.421898
2,29.69718,-95.419434
2,29.736616,-95.581207
2,29.722095,-95.376701
2,29.67548,-95.381691
2,29.703276,-95.44017
2,29.641079,-95.243248
2,29.813805,-95.361275
2,29.736868,-95.557526
2,29.956358,-95.543236
